,id,brand,category,colorway,condition,countryOfManufacture,dataType,listingType,minimumBid,gender,name,productCategory,releaseDate,belowRetail,lowestAskThresholdMet,retailPrice,shoe,shortDescription,styleId,title,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,lastSaleDate,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank
89,,Nike,Air Max 90,Summit White/Photon Dust/Light Iron Ore,New,VN,product,standard,1.0,men,White Photon Dust,sneakers,2022-07-07,True,False,140.0,Nike Air Max 90 Terrascape,Nike-Air-Max-90-Terrascape-White-Rattan,DM0033-100,Nike Air Max 90 Terrascape White Photon Dust,91.0,8.0,128.0,1,12.0,10.0,142.0,12.5,74.0,1,185.0,65.0,98,110,0.05985,559.0,-0.257,111.0,104.0,11.5,12.0,0,0,0,62304.0,1676544958,1676643693,2023-02-21T03:36:41Z,78,15,63
90,,Nike,Air Max Other,Black/Black/Black,New,VN,product,standard,1.0,men,Triple Black,sneakers,2021-09-24,True,False,160.0,Nike Air Max 2021,Nike-Air-Max-2021-Triple-Black,DH4245-002,Nike Air Max 2021 Triple Black,95.0,8.0,123.0,1,8.0,9.0,138.0,5.5,111.0,1,270.0,30.0,101,119,0.082725,754.0,-0.313,107.0,110.0,9.5,8.0,-1,-0.009009,0.009009,80586.0,1676912257,1676019468,2023-02-22T18:29:04Z,39,68,26
91,,Nike,Air Max 90,Moon Fossil/Light Menta/Court Purple,New,VN,product,standard,1.0,men,Moon Fossil Light Menta,sneakers,2022-08-01,True,False,140.0,Nike Air Max 90 Terrascape,Nike-Air-Max-90-Terrascape-Moon-Fossil-Light-Menta,DQ3987-001,Nike Air Max 90 Terrascape Moon Fossil Light Menta,93.0,8.0,147.0,1,6.0,4.0,96.0,10.5,67.0,1,246.0,75.0,127,167,0.134414,251.0,0.049,109.0,147.0,12.0,6.0,2,0.013024,0.013024,27253.0,1676675889,1677426450,2023-02-25T20:14:04Z,52,18,10
92,,Nike,Air Max Other,Marina/White/Black/Grey Jade,New,VN,product,standard,1.0,men,Marina,sneakers,2022-05-12,True,True,130.0,Nike Air Max BW OG,Nike-Air-Max-BW-OG-Marina,DJ9648-400,Nike Air Max BW OG Marina,123.0,13.0,136.0,1,4.0,11.0,143.0,6.5,122.0,1,405.0,85.0,121,164,0.148512,1559.0,0.096,175.0,143.0,13.0,4.0,-42,-0.229885,0.229885,273530.0,1677248298,1677138869,2023-02-23T21:29:36Z,51,28,11
93,,Nike,Air Max 95,Cool Grey/University Blue-Dark Obsidian,New,CN,product,standard,25.0,men,Cool Grey University Blue Dark Obsidian,sneakers,,True,True,180.0,Nike Air Max 95,Nike-Air-Max-95-Cool-Grey-University-Blue-Dark-Obsidian,DM0011-003,Nike Air Max 95 Cool Grey University Blue Dark Obsidian,129.0,9.5,126.0,1,4.0,3.0,120.0,9.0,22.0,1,270.0,115.0,109,135,0.104282,47.0,-0.322,165.0,122.0,10.0,4.0,-17,-0.122302,0.122302,7743.0,1677384956,1676730384,2023-02-26T04:05:38Z,59,24,46
94,,Nike,Air Max Plus,White/Red-White,New,CN,product,standard,1.0,men,Supreme White,sneakers,2020-11-01,False,True,180.0,Nike Air Max Plus,Nike-Air-Max-Plus-Supreme-White,DA1472-100,Nike Air Max Plus Supreme White,380.0,9.0,57.0,1,3.0,2.0,336.0,10.0,143.0,1,625.0,232.0,430,557,0.128716,163.0,1.742,401.0,494.0,12.5,3.0,65,0.150428,0.150428,65300.0,1677109805,1677424533,2023-02-25T14:01:05Z,10,85,27
95,,Nike,Air Max 1,White/Martian Sunrise-Wolf Grey-Black,New,CN,product,standard,1.0,men,Martian Sunrise,sneakers,2021-01-14,True,True,140.0,Nike Air Max 1,Air-Max-1-Martian-Sunrise,DH4059-102,Nike Air Max 1 Martian Sunrise,134.0,6.0,127.0,1,2.0,1.0,160.0,12.0,134.0,1,320.0,85.0,126,184,0.18799,504.0,0.107,181.0,155.0,8.0,2.0,0,0,0,91311.0,1677409747,1676866739,2023-02-25T06:26:24Z,98,53,4
96,,Nike,Air Max Other,Black/Racer Blue-White-Light Smoke Grey,New,CN,product,standard,1.0,men,Racer Blue,sneakers,2021-08-05,True,False,170.0,Nike Air Tuned Max,Nike-Air-Tuned-Max-Racer-Blue,DH8623-001,Nike Air Tuned Max Racer Blue,91.0,10.5,87.0,1,2.0,1.0,63.0,10.0,47.0,1,172.0,50.0,74,126,0.256108,136.0,-0.412,105.0,100.0,12.0,2.0,-41,-0.293113,0.293113,14283.0,1671821899,1677408383,2023-02-26T02:43:14Z,30,92,2
97,,Nike,Air Max 90,Wolf Grey/Black-University Gold-White,New,VN,product,standard,1.0,men,Batman,sneakers,2022-03-19,False,True,130.0,Nike Air Max 90,Nike-Air-Max-90-Batman,DH4619-003,Nike Air Max 90 Batman,203.0,8.5,39.0,1,1.0,0.0,265.0,11.0,83.0,1,376.0,110.0,227,293,0.127047,1594.0,1.0,172.0,260.0,9.5,1.0,20,0.083333,0.083333,274668.0,1677396611,1677306084,2023-02-23T21:57:13Z,81,54,5
98,,Nike,Air Max 90,White/Grey-Red-Blue,New,VN,product,standard,1.0,men,Athletic Club,sneakers,2022-01-29,True,False,130.0,Nike Air Max 90,Nike-Air-Max-90-Athletic-Club,DQ8235-001,Nike Air Max 90 Athletic Club,83.0,8.5,52.0,1,1.0,2.0,130.0,12.0,86.0,1,235.0,60.0,133,175,0.138525,330.0,0.185,110.0,155.0,9.5,1.0,31,0.242369,0.242369,36394.0,1677415095,1677225337,2023-02-25T06:22:55Z,62,48,61
